pincode,age_0_5,age_18_greater,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,adult_spike_ratio,velocity_index,ghost_ratio,anomaly_label,anomaly_score,primary_risk_factor,risk_status,lat,lon,geo_accuracy
100000,0.0,217.0,100000,100000,0.0,0.0,0.0,2.0,0.9954128440366972,0.0,0.0,-1,-0.0524168939244784,adult_spike_ratio,CRITICAL,23.379379735,79.443326548,High
110001,91.0,6.0,Delhi,New Delhi,1321.0,1416.0,331.0,2388.0,0.0612244897959183,1652.0,0.2503782148260212,1,0.2524326124596459,adult_spike_ratio,Low,0.0,0.0,Low
110002,302.0,4.0,Delhi,Central Delhi,2992.0,3884.0,357.0,3443.0,0.013029315960912,3349.0,0.1192783160708319,1,0.2870652463175323,ghost_ratio,Low,0.0,0.0,Low
110003,541.0,84.0,Delhi,Central Delhi,2744.0,3627.0,245.0,2447.0,0.134185303514377,2989.0,0.0892531876138433,1,0.1852692129563963,adult_spike_ratio,Low,0.0,0.0,Low
110004,10.0,0.0,Delhi,Central Delhi,87.0,18.0,6.0,56.0,0.0,93.0,0.0681818181818181,1,0.3056214831042546,adult_spike_ratio,Low,0.0,0.0,Low
110005,619.0,50.0,Delhi,Central Delhi,4634.0,6424.0,834.0,10227.0,0.0746268656716417,5468.0,0.1799352750809061,1,0.1778097836275191,velocity_index,Low,0.0,0.0,Low
110006,778.0,9.0,Delhi,North Delhi,7948.0,11432.0,1748.0,17100.0,0.0114213197969543,9696.0,0.2199018744496163,1,0.1521858481916244,velocity_index,Low,0.0,0.0,Low
110007,646.0,18.0,Delhi,Central Delhi,5675.0,7780.0,1122.0,13932.0,0.0270676691729323,6797.0,0.1976744186046511,1,0.2065637967745106,velocity_index,Low,0.0,0.0,Low
110008,376.0,18.0,Delhi,Central Delhi,6469.0,8161.0,2072.0,19508.0,0.0455696202531645,8541.0,0.3202472952086553,1,0.1139235880813563,velocity_index,Low,0.0,0.0,Low
110009,306.0,14.0,Delhi,North West Delhi,3241.0,4410.0,520.0,6433.0,0.043613707165109,3761.0,0.1603948180135718,1,0.2543188523182174,velocity_index,Low,0.0,0.0,Low
110010,113.0,2.0,Delhi,South West Delhi,1883.0,2578.0,197.0,1582.0,0.0172413793103448,2080.0,0.1045647558386412,1,0.2973764444327948,ghost_ratio,Low,0.0,0.0,Low
110011,16.0,1.0,Delhi,Central Delhi,168.0,346.0,19.0,108.0,0.0555555555555555,187.0,0.1124260355029585,1,0.2791110946885753,adult_spike_ratio,Low,0.0,0.0,Low
110012,138.0,5.0,Delhi,Central Delhi,2452.0,3771.0,329.0,3142.0,0.0347222222222222,2781.0,0.1341214838972686,1,0.2818077691684711,ghost_ratio,Low,0.0,0.0,Low
110013,117.0,5.0,Delhi,South Delhi,1515.0,1347.0,56.0,751.0,0.040650406504065,1571.0,0.0369393139841688,1,0.2673709342403352,velocity_index,Low,0.0,0.0,Low
110014,162.0,17.0,Delhi,South Delhi,1852.0,1964.0,234.0,3127.0,0.0944444444444444,2086.0,0.1262817053426875,1,0.2276541817669909,adult_spike_ratio,Low,0.0,0.0,Low
110015,627.0,22.0,Delhi,West Delhi,4642.0,6970.0,1170.0,11126.0,0.0338461538461538,5812.0,0.2519922463924187,1,0.1993114774517085,velocity_index,Low,0.0,0.0,Low
