pincode,age_0_5,age_18_greater,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,adult_spike_ratio,velocity_index,ghost_ratio
100000,0.0,217.0,100000,100000,0.0,0.0,0.0,2.0,0.9954128440366973,0.0,0.0
110001,91.0,6.0,Delhi,New Delhi,1321.0,1416.0,331.0,2388.0,0.061224489795918366,1652.0,0.2503782148260212
110002,302.0,4.0,Delhi,Central Delhi,2992.0,3884.0,357.0,3443.0,0.013029315960912053,3349.0,0.11927831607083195
110003,541.0,84.0,Delhi,Central Delhi,2744.0,3627.0,245.0,2447.0,0.134185303514377,2989.0,0.08925318761384335
110004,10.0,0.0,Delhi,Central Delhi,87.0,18.0,6.0,56.0,0.0,93.0,0.06818181818181818
110005,619.0,50.0,Delhi,Central Delhi,4634.0,6424.0,834.0,10227.0,0.07462686567164178,5468.0,0.17993527508090615
110006,778.0,9.0,Delhi,North Delhi,7948.0,11432.0,1748.0,17100.0,0.011421319796954314,9696.0,0.2199018744496163
110007,646.0,18.0,Delhi,Central Delhi,5675.0,7780.0,1122.0,13932.0,0.02706766917293233,6797.0,0.19767441860465115
110008,376.0,18.0,Delhi,Central Delhi,6469.0,8161.0,2072.0,19508.0,0.04556962025316456,8541.0,0.32024729520865536
110009,306.0,14.0,Delhi,North West Delhi,3241.0,4410.0,520.0,6433.0,0.04361370716510903,3761.0,0.16039481801357186
110010,113.0,2.0,Delhi,South West Delhi,1883.0,2578.0,197.0,1582.0,0.017241379310344827,2080.0,0.1045647558386412
110011,16.0,1.0,Delhi,Central Delhi,168.0,346.0,19.0,108.0,0.05555555555555555,187.0,0.11242603550295859
110012,138.0,5.0,Delhi,Central Delhi,2452.0,3771.0,329.0,3142.0,0.034722222222222224,2781.0,0.13412148389726866
110013,117.0,5.0,Delhi,South Delhi,1515.0,1347.0,56.0,751.0,0.04065040650406504,1571.0,0.036939313984168866
110014,162.0,17.0,Delhi,South Delhi,1852.0,1964.0,234.0,3127.0,0.09444444444444444,2086.0,0.12628170534268754
110015,627.0,22.0,Delhi,West Delhi,4642.0,6970.0,1170.0,11126.0,0.033846153846153845,5812.0,0.2519922463924187
110016,184.0,27.0,Delhi,South Delhi,1027.0,836.0,152.0,1724.0,0.12735849056603774,1179.0,0.14785992217898833
110017,996.0,117.0,Delhi,South Delhi,3766.0,5371.0,980.0,10622.0,0.10502692998204669,4746.0,0.26015396867533847
110018,2324.0,162.0,Delhi,West Delhi,8841.0,12116.0,1493.0,15270.0,0.06513872135102533,10334.0,0.16885320063334086
110019,552.0,14.0,Delhi,South Delhi,6256.0,7045.0,1594.0,16653.0,0.024691358024691357,7850.0,0.254754674764264
110020,268.0,7.0,Delhi,South Delhi,3879.0,4979.0,198.0,2055.0,0.025362318840579712,4077.0,0.051030927835051546
110021,152.0,46.0,Delhi,New Delhi,1465.0,1706.0,249.0,1531.0,0.23115577889447236,1714.0,0.169849931787176
110022,149.0,14.0,Delhi,South West Delhi,1805.0,2172.0,422.0,2911.0,0.08536585365853659,2227.0,0.2336655592469546
110023,98.0,11.0,Delhi,New Delhi,1050.0,1440.0,211.0,1876.0,0.1,1261.0,0.20076117982873454
110024,196.0,52.0,Delhi,South Delhi,1071.0,1400.0,99.0,1591.0,0.20883534136546184,1170.0,0.09235074626865672
110025,871.0,11.0,Delhi,South Delhi,7991.0,10056.0,2760.0,24145.0,0.01245753114382786,10751.0,0.34534534534534533
110026,87.0,6.0,Delhi,West Delhi,877.0,1140.0,102.0,1179.0,0.06382978723404255,979.0,0.11617312072892938
110027,740.0,43.0,Delhi,West Delhi,5391.0,9091.0,1148.0,12041.0,0.0548469387755102,6539.0,0.2129080118694362
110028,119.0,1.0,Delhi,South West Delhi,2105.0,2236.0,203.0,2000.0,0.008264462809917356,2308.0,0.09639126305792972
110029,135.0,23.0,Delhi,South Delhi,677.0,836.0,81.0,1157.0,0.14465408805031446,758.0,0.11946902654867257
110030,636.0,47.0,Delhi,South Delhi,5387.0,8159.0,562.0,5711.0,0.06871345029239766,5949.0,0.10430586488492948
110031,409.0,6.0,Delhi,East Delhi,5716.0,7423.0,3136.0,17371.0,0.014423076923076924,8852.0,0.548539443764212
110032,1550.0,56.0,Delhi,Shahdara,10167.0,14435.0,2189.0,14036.0,0.03484754200373367,12356.0,0.21528324154209283
110033,814.0,5.0,Delhi,North West Delhi,10880.0,17220.0,3997.0,38251.0,0.006097560975609756,14877.0,0.367337560885948
110034,1630.0,122.0,Delhi,North West Delhi,6964.0,7548.0,3802.0,26863.0,0.06959498003422704,10766.0,0.5458722182340273
110035,255.0,1.0,Delhi,North West Delhi,3166.0,4574.0,754.0,7249.0,0.0038910505836575876,3920.0,0.23808020208399117
110036,387.0,4.0,Delhi,North West Delhi,5194.0,6559.0,1410.0,6952.0,0.01020408163265306,6604.0,0.2714148219441771
110037,763.0,65.0,Delhi,South West Delhi,5252.0,4597.0,2028.0,10371.0,0.07840772014475271,7280.0,0.38606510565391206
110038,39.0,0.0,Delhi,South West Delhi,931.0,719.0,189.0,1226.0,0.0,1120.0,0.20278969957081544
110039,902.0,44.0,Delhi,North Delhi,8300.0,11912.0,3021.0,14564.0,0.046462513199577615,11321.0,0.36393205637874954
110040,1292.0,92.0,Delhi,North West Delhi,8875.0,7948.0,3488.0,13271.0,0.0664259927797834,12363.0,0.39296980621901756
110041,2115.0,22.0,Delhi,West Delhi,18033.0,27420.0,7204.0,35266.0,0.01028999064546305,25237.0,0.39946767217478096
110042,1061.0,7.0,Delhi,North West Delhi,17676.0,29109.0,4551.0,27811.0,0.006548175865294668,22227.0,0.2574531877581038
110043,1127.0,9.0,Delhi,West Delhi,15104.0,19857.0,5351.0,36823.0,0.0079155672823219,20455.0,0.3542535584243628
110044,1412.0,12.0,Delhi,South Delhi,19840.0,25972.0,5792.0,39991.0,0.008421052631578947,25632.0,0.29192077012247364
110045,2158.0,138.0,Delhi,South West Delhi,9642.0,11397.0,3692.0,31795.0,0.06007836308228123,13334.0,0.38286840194960076
110046,282.0,7.0,Delhi,South West Delhi,4710.0,5526.0,1918.0,15741.0,0.02413793103448276,6628.0,0.40713224368499257
110047,234.0,4.0,Delhi,South Delhi,3335.0,5227.0,857.0,5243.0,0.016736401673640166,4192.0,0.25689448441247004
110048,129.0,42.0,Delhi,South Delhi,908.0,1164.0,131.0,2057.0,0.2441860465116279,1039.0,0.14411441144114412
110049,160.0,9.0,Delhi,South Delhi,1391.0,1694.0,139.0,1461.0,0.052941176470588235,1530.0,0.09985632183908046
110051,608.0,22.0,Delhi,East Delhi,5216.0,6353.0,1913.0,17476.0,0.03486529318541997,7129.0,0.36668583477094113
110052,438.0,4.0,Delhi,North West Delhi,7314.0,10083.0,1610.0,16857.0,0.009029345372460496,8924.0,0.22009569377990432
110053,2649.0,20.0,Delhi,North East Delhi,22766.0,36544.0,3173.0,21785.0,0.00749063670411985,25939.0,0.139368384064655
110054,247.0,15.0,Delhi,Central Delhi,2619.0,3249.0,227.0,1873.0,0.057034220532319393,2846.0,0.0866412213740458
110055,572.0,36.0,Delhi,Central Delhi,3845.0,4225.0,537.0,5225.0,0.059113300492610835,4382.0,0.13962558502340094
110056,26.0,1.0,Delhi,North West Delhi,448.0,353.0,22.0,237.0,0.03571428571428571,470.0,0.04899777282850779
110057,145.0,24.0,Delhi,New Delhi,1565.0,1823.0,180.0,2385.0,0.1411764705882353,1745.0,0.11494252873563218
110058,152.0,3.0,Delhi,West Delhi,1765.0,2300.0,197.0,2049.0,0.019230769230769232,1962.0,0.11155152887882219
110059,7297.0,740.0,Delhi,West Delhi,24328.0,32736.0,11402.0,104241.0,0.0920627021647176,35730.0,0.46865880225245593
110060,42.0,2.0,Delhi,Central Delhi,329.0,485.0,42.0,646.0,0.044444444444444446,371.0,0.12727272727272726
110061,281.0,97.0,Delhi,South West Delhi,1862.0,1699.0,182.0,1580.0,0.2559366754617414,2044.0,0.09769189479334407
110062,2081.0,22.0,Delhi,South Delhi,21305.0,29062.0,3713.0,47075.0,0.010456273764258554,25018.0,0.17427015864075848
110063,316.0,7.0,Delhi,West Delhi,3425.0,4321.0,1893.0,16259.0,0.021604938271604937,5318.0,0.5525394045534151
110064,119.0,4.0,Delhi,South West Delhi,1908.0,2449.0,336.0,3631.0,0.03225806451612903,2244.0,0.17600838135149294
110065,513.0,56.0,Delhi,South Delhi,3089.0,3129.0,293.0,3026.0,0.09824561403508772,3382.0,0.09482200647249191
110066,34.0,10.0,Delhi,South West Delhi,539.0,653.0,69.0,502.0,0.2222222222222222,608.0,0.12777777777777777
110067,92.0,15.0,Delhi,South West Delhi,1129.0,1040.0,104.0,1072.0,0.1388888888888889,1233.0,0.0920353982300885
110068,150.0,5.0,Delhi,South Delhi,1791.0,1891.0,274.0,3355.0,0.03205128205128205,2065.0,0.15290178571428573
110069,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110070,389.0,59.0,Delhi,South West Delhi,1980.0,2339.0,618.0,5547.0,0.13140311804008908,2598.0,0.31196365471983845
110071,213.0,2.0,Delhi,South West Delhi,2382.0,2715.0,544.0,3508.0,0.009259259259259259,2926.0,0.2282836760386068
110072,70.0,0.0,Delhi,South West Delhi,954.0,967.0,115.0,1048.0,0.0,1069.0,0.12041884816753927
110073,99.0,0.0,Delhi,South West Delhi,1949.0,1599.0,103.0,826.0,0.0,2052.0,0.05282051282051282
110074,729.0,17.0,Delhi,South Delhi,5466.0,6477.0,1251.0,11790.0,0.022757697456492636,6717.0,0.22882751051765135
110075,254.0,5.0,Delhi,South West Delhi,2257.0,2624.0,1024.0,8571.0,0.019230769230769232,3281.0,0.4534986713906112
110076,447.0,3.0,Delhi,South Delhi,5237.0,8245.0,849.0,9623.0,0.0066518847006651885,6086.0,0.1620847651775487
110077,481.0,18.0,Delhi,South West Delhi,3760.0,3663.0,1555.0,10650.0,0.036,5315.0,0.41345386865195427
110078,453.0,6.0,Delhi,South West Delhi,4065.0,4136.0,1057.0,6842.0,0.013043478260869565,5122.0,0.2599606492867683
110080,290.0,0.0,Delhi,South Delhi,2220.0,2292.0,568.0,4537.0,0.0,2788.0,0.25574065736154883
110081,494.0,2.0,Delhi,North West Delhi,6029.0,10320.0,676.0,4614.0,0.004024144869215292,6705.0,0.112106135986733
110082,203.0,5.0,Delhi,North West Delhi,2586.0,3876.0,356.0,1922.0,0.023923444976076555,2942.0,0.13761113258600696
110083,405.0,4.0,Delhi,North West Delhi,6966.0,12326.0,1250.0,8160.0,0.00975609756097561,8216.0,0.1794172527630257
110084,970.0,12.0,Delhi,North Delhi,9400.0,12727.0,6220.0,44678.0,0.012207527975584944,15620.0,0.6616317413041166
110085,2154.0,69.0,Delhi,North West Delhi,12547.0,15199.0,5455.0,40820.0,0.03102517985611511,18002.0,0.4347306343640421
110086,2402.0,26.0,Delhi,North West Delhi,26574.0,39616.0,7494.0,48111.0,0.01070399341292713,34068.0,0.28199435559736596
110087,190.0,2.0,Delhi,West Delhi,2218.0,3361.0,773.0,6048.0,0.010362694300518135,2991.0,0.3483551149166291
110088,317.0,6.0,Delhi,North West Delhi,4540.0,6333.0,867.0,8122.0,0.018518518518518517,5407.0,0.19092710856639505
110089,190.0,0.0,Delhi,North West Delhi,2257.0,4199.0,469.0,3937.0,0.0,2726.0,0.20770593445527016
110090,11.0,0.0,Delhi,North East Delhi,49.0,35.0,16.0,65.0,0.0,65.0,0.32
110091,1729.0,29.0,Delhi,East Delhi,10958.0,13650.0,4722.0,38038.0,0.01648664013644116,15680.0,0.43087872981111414
110092,3405.0,152.0,Delhi,East Delhi,13321.0,15454.0,8020.0,56936.0,0.04272062956717257,21341.0,0.6020117099534604
110093,1151.0,6.0,Delhi,North East,18135.0,23764.0,5295.0,25818.0,0.0051813471502590676,23430.0,0.2919607410674901
110094,5589.0,48.0,Delhi,North East Delhi,31858.0,46907.0,18284.0,85189.0,0.008513657325292657,50142.0,0.5739037634577356
110095,1075.0,14.0,Delhi,East Delhi,8229.0,10981.0,2160.0,10267.0,0.012844036697247707,10389.0,0.2624544349939247
110096,643.0,1.0,Delhi,East Delhi,9761.0,8913.0,6484.0,26280.0,0.0015503875968992248,16245.0,0.6642081540667896
121001,2530.0,62.0,Haryana,Faridabad,11385.0,9338.0,3018.0,24936.0,0.0239105283455457,14403.0,0.26506235728087124
121002,1062.0,40.0,Haryana,Faridabad,5922.0,6900.0,2085.0,14064.0,0.03626473254759746,8007.0,0.3520175586695931
121003,1148.0,53.0,Haryana,Faridabad,5626.0,7314.0,1732.0,13602.0,0.04409317803660566,7358.0,0.30780167051714946
121004,6507.0,141.0,Haryana,Faridabad,20234.0,20150.0,8934.0,58063.0,0.021206196420514363,29168.0,0.44151223128243144
121005,625.0,4.0,Haryana,Faridabad,7128.0,6208.0,2255.0,16451.0,0.006349206349206349,9383.0,0.31631364847804744
121006,172.0,7.0,Haryana,Faridabad,2012.0,1895.0,503.0,3359.0,0.03888888888888889,2515.0,0.24987580725285644
121007,76.0,8.0,Haryana,Faridabad,778.0,784.0,141.0,1098.0,0.09411764705882353,919.0,0.1810012836970475
121008,47.0,1.0,Haryana,Faridabad,594.0,726.0,110.0,915.0,0.02040816326530612,704.0,0.18487394957983194
121009,90.0,3.0,Haryana,Faridabad,1132.0,1449.0,114.0,1220.0,0.031914893617021274,1246.0,0.10061782877316858
121010,64.0,0.0,Haryana,Faridabad,513.0,607.0,108.0,1454.0,0.0,621.0,0.21011673151750973
121012,8.0,0.0,Haryana,Faridabad,99.0,68.0,8.0,170.0,0.0,107.0,0.08
121013,100.0,0.0,Haryana,Faridabad,1067.0,1545.0,141.0,1285.0,0.0,1208.0,0.13202247191011235
121014,2.0,0.0,Haryana,Faridabad,5.0,9.0,5.0,70.0,0.0,10.0,0.8333333333333334
121101,242.0,4.0,Haryana,Faridabad,3031.0,3530.0,690.0,4941.0,0.016194331983805668,3721.0,0.2275725593667546
